departamento,municipio,DANE_code,weapon,date,gender,age_group,quantity
ANTIOQUIA,ANDES,5034000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
ANTIOQUIA,CACERES,5120000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
ANTIOQUIA,CIUDAD BOLIVAR,5101000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
ANTIOQUIA,SALGAR,5642000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
ANTIOQUIA,TURBO,5837000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,FEMENINO,ADULTOS,1
BOLIVAR,CARTAGENA (CT),13001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,2
BOYACA,GAMEZA,15296000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
BOYACA,SIACHOQUE,15740000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,FEMENINO,ADULTOS,1
CALDAS,MANIZALES (CT),17001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADOLESCENTES,1
CALDAS,MANIZALES (CT),17001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
CAQUETA,FLORENCIA (CT),18001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
CAQUETA,SAN JOSE DEL FRAGUA,18610000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
CAQUETA,SAN VICENTE DEL CAGUAN,18753000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTA D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,6
GUAJIRA,RIOHACHA (CT),44001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,FEMENINO,ADULTOS,1
HUILA,NEIVA (CT),41001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
HUILA,PAICOL,41518000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
META,CASTILLA LA NUEVA,50150000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
META,LEJANIAS,50400000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
META,MAPIRIPAN,50325000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
META,VILLAVICENCIO (CT),50001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
NARINO,ANCUYA,52036000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
NARINO,PASTO (CT),52001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,2
NARINO,PUPIALES,52585000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,CUCUTA (CT),54001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,LA ESPERANZA,54385000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
PUTUMAYO,PUERTO ASIS,86568000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
RISARALDA,SANTUARIO,66687000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
TOLIMA,COYAIMA,73217000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADOLESCENTES,1
TOLIMA,IBAGUE (CT),73001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADOLESCENTES,1
TOLIMA,IBAGUE (CT),73001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,3
VALLE,CARTAGO,76147000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
VALLE,FLORIDA,76275000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
VALLE,PALMIRA,76520000,ARMA BLANCA / CORTOPUNZANTE,1/01/2012,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,3
ANTIOQUIA,SANTA ROSA DE OSOS,5686000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
ANTIOQUIA,SEGOVIA,5736000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
ATLANTICO,BARRANQUILLA (CT),8001000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
BOLIVAR,CARTAGENA (CT),13001000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
BOLIVAR,SANTA ROSA DEL SUR,13688000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,2
CALDAS,MANIZALES (CT),17001000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
CALDAS,PALESTINA,17524000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
CAQUETA,SAN VICENTE DEL CAGUAN,18753000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
CAUCA,BALBOA,19075000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
CAUCA,MERCADERES,19450000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,2
CAUCA,POPAYAN (CT),19001000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,2
CAUCA,TIMBIQUI,19809000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
CHOCO,QUIBDO (CT),27001000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADOLESCENTES,1
CHOCO,QUIBDO (CT),27001000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
CORDOBA,MONTERIA (CT),23001000,ARMA DE FUEGO,1/01/2012,FEMENINO,MENORES,1
CUNDINAMARCA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,1/01/2012,FEMENINO,ADOLESCENTES,1
CUNDINAMARCA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,2
GUAJIRA,MAICAO,44430000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
MAGDALENA,ZONA BANANERA,47980000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,2
META,VILLAVICENCIO (CT),50001000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
NARINO,PASTO (CT),52001000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
NARINO,SAN ANDRES DE TUMACO,52835000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,2
RISARALDA,BELEN DE UMBRIA,66088000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
SANTANDER,BUCARAMANGA (CT),68001000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
SANTANDER,PIEDECUESTA,68547000,ARMA DE FUEGO,1/01/2012,MASCULINO,ADULTOS,1
